date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:46:35	62/62	---MCZ	302	error ('Found')	text/plain	date:Wed,%2001%20Sep%202021%2003:46:35%20GMT	https://unpkg.com/sweetalert/dist/sweetalert.min.js	C:/My%20Web%20Sites/Startinhsbot/unpkg.com/sweetalert/dist/sweetalert.min.12.delayed	(from https://hoangduyentv.xyz/dang-nhap)
10:46:36	40808/40808	---MCZ	200	added ('OK')	application/javascript	etag:%229f68-Kj2qvHAjLGNQq0jTJgXcSmrB8fo%22	https://unpkg.com/sweetalert@2.1.2/dist/sweetalert.min.js	C:/My%20Web%20Sites/Startinhsbot/unpkg.com/sweetalert@2.1.2/dist/sweetalert.min.js	(from https://hoangduyentv.xyz/dang-nhap)
10:46:38	17660/17660	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Sep%202021%2003:46:36%20GMT	https://hoangduyentv.xyz/dang-ky	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/dang-ky.html	(from https://hoangduyentv.xyz/dang-nhap)
10:46:40	80104/80104	---MCZ	200	added ('OK')	application/javascript	etag:W/%22138e8-5c6a73fb6689a%22	https://hoangduyentv.xyz/assets/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/js/bootstrap.bundle.min.js	(from https://hoangduyentv.xyz/dang-nhap)
10:46:41	58015/58015	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e29f-5c6a73fb7147a%22	https://hoangduyentv.xyz/assets/plugins/simplebar/js/simplebar.min.js	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/plugins/simplebar/js/simplebar.min.js	(from https://hoangduyentv.xyz/dang-nhap)
10:46:42	4792/4792	---MCZ	200	added ('OK')	application/javascript	etag:W/%2212b8-5c6a73fb704da%22	https://hoangduyentv.xyz/assets/plugins/metismenu/js/metisMenu.min.js	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/plugins/metismenu/js/metisMenu.min.js	(from https://hoangduyentv.xyz/dang-nhap)
10:46:43	26482/26482	---MCZ	200	added ('OK')	application/javascript	etag:W/%226772-5c6a73fb71092%22	https://hoangduyentv.xyz/assets/plugins/perfect-scrollbar/js/perfect-scrollbar.js	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/plugins/perfect-scrollbar/js/perfect-scrollbar.js	(from https://hoangduyentv.xyz/dang-nhap)
10:46:43	5340/5340	---MCZ	200	added ('OK')	application/javascript	etag:W/%2214dc-5c6a73fb6689a%22	https://hoangduyentv.xyz/assets/js/app.js	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/js/app.js	(from https://hoangduyentv.xyz/dang-nhap)
10:46:45	78814/78814	---M--	200	added ('OK')	image/jpeg	etag:%22133de-5c6a73fb64d42%22	https://hoangduyentv.xyz/assets/images/login-images/bg-forgot-password.jpg	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/images/login-images/bg-forgot-password.jpg	(from https://hoangduyentv.xyz/assets/css/app.css)
10:46:45	151884/151884	---M--	200	added ('OK')	image/jpeg	etag:%222514c-5c6a73fb64d42%22	https://hoangduyentv.xyz/assets/images/login-images/bg-login-img.jpg	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/images/login-images/bg-login-img.jpg	(from https://hoangduyentv.xyz/assets/css/app.css)
10:46:46	44742/44742	---M--	200	added ('OK')	image/jpeg	etag:%22aec6-5c6a73fb64d42%22	https://hoangduyentv.xyz/assets/images/login-images/bg-lock-screen.jpg	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/images/login-images/bg-lock-screen.jpg	(from https://hoangduyentv.xyz/assets/css/app.css)
10:46:47	273536/273536	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2242c80-5c6a73fb4b701%22	https://hoangduyentv.xyz/assets/fonts/boxicons.eot	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/fonts/boxicons.eot	(from https://hoangduyentv.xyz/assets/css/icons.css)
10:46:47	93260/93260	---M--	200	added ('OK')	text/html	etag:%2216c4c-5c6a73fb4d641%22	https://hoangduyentv.xyz/assets/fonts/boxicons.woff2	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/fonts/boxicons.html	(from https://hoangduyentv.xyz/assets/css/icons.css)
10:46:48	273444/273444	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2242c24-5c6a73fb4d641%22	https://hoangduyentv.xyz/assets/fonts/boxicons.woff	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/fonts/boxicons.woff	(from https://hoangduyentv.xyz/assets/css/icons.css)
10:46:48	273368/273368	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%2242bd8-5c6a73fb4ce71%22	https://hoangduyentv.xyz/assets/fonts/boxicons.ttf	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/fonts/boxicons.ttf	(from https://hoangduyentv.xyz/assets/css/icons.css)
10:46:48	124704/124704	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221e720-5c6a73fb49f91%22	https://hoangduyentv.xyz/assets/fonts/LineIcons.eot	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/fonts/LineIcons.eot	(from https://hoangduyentv.xyz/assets/css/icons.css)
10:46:49	975365/975365	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22ee205-5c6a73fb4c6a1%22	https://hoangduyentv.xyz/assets/fonts/boxicons.svg?	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/fonts/boxiconsd41d.svg	(from https://hoangduyentv.xyz/assets/css/icons.css)
10:46:49	51676/51676	---M--	200	added ('OK')	text/html	etag:%22c9dc-5c6a73fb4af31%22	https://hoangduyentv.xyz/assets/fonts/LineIcons.woff2	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/fonts/LineIcons.html	(from https://hoangduyentv.xyz/assets/css/icons.css)
10:46:49	64732/64732	---MCZ	200	added ('OK')	application/font-woff	etag:W/%22fcdc-5c6a73fb4af31%22	https://hoangduyentv.xyz/assets/fonts/LineIcons.woff	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/fonts/LineIcons.woff	(from https://hoangduyentv.xyz/assets/css/icons.css)
10:46:50	124532/124532	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%221e674-5c6a73fb4af31%22	https://hoangduyentv.xyz/assets/fonts/LineIcons.ttf	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/fonts/LineIcons.ttf	(from https://hoangduyentv.xyz/assets/css/icons.css)
10:46:50	56452/56452	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22dc84-5c6a73fb45171%22	https://hoangduyentv.xyz/assets/flags/4x3/ad.svg	C:/My%20Web%20Sites/Startinhsbot/hoangduyentv.xyz/assets/flags/4x3/ad.svg	(from https://hoangduyentv.xyz/assets/css/icons.css)
